idx,SPLINE_X,SPLINE_Y,SENSOR_TIMESTAMP,SENSOR_PRESSURE,SENSOR_ALTITUDE,SENSOR_AZIMUTH
2,346.148193359375,217.32943725585938,1722443389849.848,0.7900000000000001,0.65,0.66
2,346.08172607421875,217.8097686767578,1722443389849.851,0.7900000000000001,0.65,0.66
2,345.9948425292969,218.2869415283203,1722443389849.855,0.7900000000000001,0.65,0.66
2,345.9107971191406,218.76953125,1722443389849.859,0.7900000000000001,0.65,0.66
2,345.8415832519531,219.25830078125,1722443389849.865,0.7900000000000001,0.65,0.66
2,345.7829284667969,219.7490997314453,1722443389849.869,0.7900000000000001,0.65,0.66
2,345.71875,220.24156188964844,1722443389849.873,0.7900000000000001,0.65,0.66
2,345.64141845703125,220.7324981689453,1722443389849.877,0.7900000000000001,0.65,0.66
2,345.5539245605469,221.21153259277344,1722443389849.881,0.7900000000000001,0.66,0.68
2,345.46405029296875,221.6785125732422,1722443389849.885,0.7900000000000001,0.66,0.68
2,345.3756103515625,222.1484375,1722443389849.889,0.7900000000000001,0.66,0.68
2,345.28900146484375,222.6383056640625,1722443389849.893,0.7900000000000001,0.66,0.68
2,345.2030334472656,223.1497802734375,1722443389849.899,0.7900000000000001,0.66,0.68
2,345.1169128417969,223.67311096191406,1722443389849.9011,0.7900000000000001,0.66,0.68
2,345.030029296875,224.18763732910156,1722443389849.905,0.7900000000000001,0.66,0.68
2,344.9429931640625,224.68577575683594,1722443389849.909,0.7900000000000001,0.66,0.68
2,344.8562316894531,225.16476440429688,1722443389849.916,0.7900000000000001,0.66,0.68
2,344.7799072265625,225.62774658203125,1722443389849.919,0.7900000000000001,0.66,0.68
2,344.7167663574219,226.06463623046875,1722443389849.923,0.8000000000000002,0.66,0.68
2,344.6698913574219,226.4766387939453,1722443389849.927,0.8000000000000002,0.66,0.68
2,344.62847900390625,226.85633850097656,1722443389849.933,0.8000000000000002,0.66,0.68
2,344.5907897949219,227.2076873779297,1722443389849.935,0.8000000000000002,0.66,0.68
2,344.5489501953125,227.53726196289062,1722443389849.939,0.8000000000000002,0.66,0.68
2,344.50762939453125,227.85324096679688,1722443389849.943,0.8000000000000002,0.66,0.68
2,344.4726257324219,228.15362548828125,1722443389849.95,0.8000000000000002,0.66,0.68
